['Jul 17, 2020', 'active cases', '79081']['Jul 17, 2020', 'new cases', '6614']['Jul 17, 2020', 'new deaths', '793']['Jul 17, 2020', 'new recoveries', '6614']
['Jul 18, 2020', 'active cases', '80794']['Jul 18, 2020', 'new cases', '7492']['Jul 18, 2020', 'new deaths', '807']['Jul 18, 2020', 'new recoveries', '7492']
['Jul 19, 2020', 'active cases', '83331']['Jul 19, 2020', 'new cases', '7862']['Jul 19, 2020', 'new deaths', '755']['Jul 19, 2020', 'new recoveries', '7862']
['Jul 20, 2020', 'active cases', '83654']['Jul 20, 2020', 'new cases', '5483']['Jul 20, 2020', 'new deaths', '743']['Jul 20, 2020', 'new recoveries', '5483']
['Jul 21, 2020', 'active cases', '83548']['Jul 21, 2020', 'new cases', '5340']['Jul 21, 2020', 'new deaths', '801']['Jul 21, 2020', 'new recoveries', '5340']
['Jul 22, 2020', 'active cases', '84739']['Jul 22, 2020', 'new cases', '7081']['Jul 22, 2020', 'new deaths', '793']['Jul 22, 2020', 'new recoveries', '7081']
['Jul 23, 2020', 'active cases', '85889']['Jul 23, 2020', 'new cases', '6214']['Jul 23, 2020', 'new deaths', '826']['Jul 23, 2020', 'new recoveries', '6214']
['Jul 24, 2020', 'active cases', '89062']['Jul 24, 2020', 'new cases', '8712']['Jul 24, 2020', 'new deaths', '733']['Jul 24, 2020', 'new recoveries', '8712']
['Jul 25, 2020', 'active cases', '89621']['Jul 25, 2020', 'new cases', '7819']['Jul 25, 2020', 'new deaths', '777']['Jul 25, 2020', 'new recoveries', '7819']
['Jul 26, 2020', 'active cases', '91386']['Jul 26, 2020', 'new cases', '6970']['Jul 26, 2020', 'new deaths', '719']['Jul 26, 2020', 'new recoveries', '6970']
['Jul 27, 2020', 'active cases', '91944']['Jul 27, 2020', 'new cases', '5658']['Jul 27, 2020', 'new deaths', '773']['Jul 27, 2020', 'new recoveries', '5658']
['Jul 28, 2020', 'active cases', '91026']['Jul 28, 2020', 'new cases', '5134']['Jul 28, 2020', 'new deaths', '780']['Jul 28, 2020', 'new recoveries', '5134']
