['Jun 29, 2021', 'active cases', '47319']
['Jun 30, 2021', 'active cases', '45309']
['Jul 01, 2021', 'active cases', '44098']
['Jul 02, 2021', 'active cases', '42814']
['Jul 03, 2021', 'active cases', '42972']
['Jul 04, 2021', 'active cases', '44840']
['Jul 05, 2021', 'active cases', '42374']
['Jul 06, 2021', 'active cases', '42903']
['Jul 07, 2021', 'active cases', '44946']
['Jul 08, 2021', 'active cases', '46210']
['Jul 09, 2021', 'active cases', '48173']
['Jul 10, 2021', 'active cases', '51053']
['Jul 11, 2021', 'active cases', '54837']
['Jul 12, 2021', 'active cases', '53869']
['Jul 13, 2021', 'active cases', '58473']
['Jul 14, 2021', 'active cases', '65389']
['Jul 15, 2021', 'active cases', '67010']
['Jul 16, 2021', 'active cases', '75784']
['Jul 17, 2021', 'active cases', '85161']
['Jul 18, 2021', 'active cases', '97195']
['Jul 19, 2021', 'active cases', '99017']
['Jul 20, 2021', 'active cases', '114728']
['Jul 21, 2021', 'active cases', '133607']
['Jul 22, 2021', 'active cases', '152851']
['Jul 23, 2021', 'active cases', '169391']
['Jul 24, 2021', 'active cases', '192467']
['Jul 25, 2021', 'active cases', '206931']
['Jul 26, 2021', 'active cases', '208609']
['Jul 27, 2021', 'active cases', '231413']
['Jul 28, 2021', 'active cases', '254889']
['Jul 29, 2021', 'active cases', '275507']
['Jul 30, 2021', 'active cases', '295083']
['Jul 31, 2021', 'active cases', '314311']
['Aug 01, 2021', 'active cases', '332674']
['Aug 02, 2021', 'active cases', '330870']
['Aug 03, 2021', 'active cases', '348812']
['Aug 04, 2021', 'active cases', '373977']
['Aug 05, 2021', 'active cases', '389525']
['Aug 06, 2021', 'active cases', '403639']
['Aug 07, 2021', 'active cases', '416887']
['Aug 08, 2021', 'active cases', '433185']
['Aug 09, 2021', 'active cases', '420734']
['Aug 10, 2021', 'active cases', '427764']
['Aug 11, 2021', 'active cases', '436783']
['Aug 12, 2021', 'active cases', '445745']
['Aug 13, 2021', 'active cases', '446569']
['Aug 14, 2021', 'active cases', '455772']
['Aug 15, 2021', 'active cases', '471639']
['Aug 16, 2021', 'active cases', '450534']
['Aug 17, 2021', 'active cases', '450688']
['Aug 18, 2021', 'active cases', '453890']
['Aug 19, 2021', 'active cases', '453526']
['Aug 20, 2021', 'active cases', '452409']
['Aug 21, 2021', 'active cases', '455439']
['Aug 22, 2021', 'active cases', '467587']
['Aug 23, 2021', 'active cases', '445849']
['Aug 24, 2021', 'active cases', '441857']
['Aug 25, 2021', 'active cases', '439154']
['Aug 26, 2021', 'active cases', '433743']
['Aug 27, 2021', 'active cases', '426451']
['Aug 28, 2021', 'active cases', '423601']
['Aug 29, 2021', 'active cases', '431469']
['Aug 30, 2021', 'active cases', '406629']
['Aug 31, 2021', 'active cases', '395096']
['Sep 01, 2021', 'active cases', '384213']
['Sep 02, 2021', 'active cases', '373701']
['Sep 03, 2021', 'active cases', '362750']
['Sep 04, 2021', 'active cases', '354924']
['Sep 05, 2021', 'active cases', '359539']
['Sep 06, 2021', 'active cases', '334414']
['Sep 07, 2021', 'active cases', '320493']
['Sep 08, 2021', 'active cases', '309400']
['Sep 09, 2021', 'active cases', '298047']
['Sep 10, 2021', 'active cases', '285400']
['Sep 11, 2021', 'active cases', '277735']
['Sep 12, 2021', 'active cases', '280265']
['Sep 13, 2021', 'active cases', '257417']
['Sep 14, 2021', 'active cases', '243977']
['Sep 15, 2021', 'active cases', '233506']
['Sep 16, 2021', 'active cases', '223399']
['Sep 17, 2021', 'active cases', '213181']
['Sep 18, 2021', 'active cases', '206989']
['Sep 19, 2021', 'active cases', '209022']
['Sep 20, 2021', 'active cases', '191072']
['Sep 21, 2021', 'active cases', '181217']
['Sep 22, 2021', 'active cases', '172195']
['Sep 23, 2021', 'active cases', '164954']
['Sep 24, 2021', 'active cases', '157510']
['Sep 25, 2021', 'active cases', '153132']
['Sep 26, 2021', 'active cases', '154811']
['Sep 27, 2021', 'active cases', '141508']
['Sep 28, 2021', 'active cases', '135477']
['Sep 29, 2021', 'active cases', '130361']
['Sep 30, 2021', 'active cases', '125585']
['Oct 01, 2021', 'active cases', '120929']
['Oct 02, 2021', 'active cases', '118214']
['Oct 03, 2021', 'active cases', '119917']
['Oct 04, 2021', 'active cases', '110687']
['Oct 05, 2021', 'active cases', '107076']
['Oct 06, 2021', 'active cases', '103935']
['Oct 07, 2021', 'active cases', '101177']
['Oct 08, 2021', 'active cases', '98229']
['Oct 09, 2021', 'active cases', '97172']
['Oct 10, 2021', 'active cases', '99655']
['Oct 11, 2021', 'active cases', '92902']
['Oct 12, 2021', 'active cases', '91950']
['Oct 13, 2021', 'active cases', '91344']
['Oct 14, 2021', 'active cases', '90637']
['Oct 15, 2021', 'active cases', '90728']
['Oct 16, 2021', 'active cases', '90940']
['Oct 17, 2021', 'active cases', '93419']
['Oct 18, 2021', 'active cases', '87675']
['Oct 19, 2021', 'active cases', '87766']
['Oct 20, 2021', 'active cases', '88626']
['Oct 21, 2021', 'active cases', '89804']
['Oct 22, 2021', 'active cases', '91228']
['Oct 23, 2021', 'active cases', '93781']
['Oct 24, 2021', 'active cases', '97667']
['Oct 25, 2021', 'active cases', '93367']
['Oct 26, 2021', 'active cases', '95018']
['Oct 27, 2021', 'active cases', '96944']
['Oct 28, 2021', 'active cases', '98936']
['Oct 29, 2021', 'active cases', '100641']
['Oct 30, 2021', 'active cases', '104015']
['Oct 31, 2021', 'active cases', '109234']
['Nov 01, 2021', 'active cases', '105226']
['Nov 02, 2021', 'active cases', '101619']
['Nov 03, 2021', 'active cases', '106517']
['Nov 04, 2021', 'active cases', '109912']
['Nov 05, 2021', 'active cases', '114032']
['Nov 06, 2021', 'active cases', '119860']
['Nov 07, 2021', 'active cases', '127365']
['Nov 08, 2021', 'active cases', '123583']
['Nov 09, 2021', 'active cases', '130020']
['Nov 10, 2021', 'active cases', '135801']
